,host_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
54,1855417,4.9,4.89,4.76,4.94,4.96,4.92,4.72
55,1907015,4.69,4.67,4.53,4.75,4.61,4.85,4.47
56,2008330,4.85,4.83,4.94,4.92,4.91,4.74,4.72
57,2063261,4.88,4.88,4.63,4.88,5.0,4.75,4.75
58,1336633,4.87,4.92,4.78,4.99,4.97,4.8,4.74
59,2144360,4.8,4.62,4.65,4.73,4.88,4.88,4.62
60,2064560,4.79,4.79,4.53,4.9,4.77,4.88,4.72
61,2191136,4.88,4.87,4.84,4.92,4.89,4.65,4.7
62,2193861,4.61,4.68,4.43,4.81,4.84,4.7,4.54
63,2202945,4.79,4.86,4.88,4.94,4.92,4.71,4.66
64,2064560,4.75,4.82,4.64,4.91,4.83,4.82,4.72
65,2238440,4.7,4.75,4.73,4.71,4.66,4.96,4.42
66,2297302,4.97,5.0,5.0,4.95,5.0,4.97,4.89
67,1382273,4.67,4.78,4.58,4.84,4.76,4.7,4.42
68,2395278,4.88,4.85,4.88,4.94,4.97,4.38,4.82
69,907405,4.83,4.77,4.81,4.81,4.97,4.68,4.58
70,2449055,4.93,4.94,4.69,4.88,5.0,4.94,4.69
71,2483843,4.82,5.0,4.73,5.0,5.0,4.73,4.82
72,2536879,5.0,5.0,5.0,5.0,5.0,4.0,4.0
73,2540480,4.86,4.84,4.73,4.95,4.95,4.92,4.78
74,2541099,4.28,4.44,3.96,4.67,4.48,4.57,4.08
75,2550339,4.87,4.91,4.78,4.87,4.87,4.87,4.65
76,2569931,4.96,4.88,4.92,5.0,5.0,4.6,4.96
77,6114964,4.89,5.0,4.83,4.82,4.94,4.71,4.59
78,6211092,4.82,4.63,4.56,4.89,4.89,4.74,4.56
79,6101182,4.64,4.68,4.92,4.8,4.88,4.96,4.64
80,6127483,4.66,4.77,4.74,4.83,4.88,4.59,4.58
81,6300541,4.7,4.73,4.47,4.89,4.93,4.58,4.7
82,6302268,4.19,4.32,3.82,4.61,4.66,4.06,4.01
83,5796250,4.86,4.88,4.86,4.8,4.76,4.96,4.57
84,6299692,4.72,4.86,4.97,4.9,4.92,4.52,4.71
85,5331982,4.86,4.88,4.73,4.9,4.92,4.8,4.63
86,6368949,4.85,4.92,4.38,4.92,4.92,4.69,4.46
87,6428213,4.95,4.98,4.81,5.0,5.0,4.9,4.93
88,3136773,4.86,4.86,4.57,5.0,4.86,5.0,5.0
89,6534317,4.9,4.93,4.48,4.9,4.95,4.95,4.73
90,6536417,4.65,4.7,4.61,4.86,4.85,4.56,4.53
91,6565457,4.86,4.91,4.86,4.82,4.91,4.73,4.68
92,6673715,4.71,4.73,4.67,4.78,4.79,4.63,4.58
93,6673713,4.75,4.83,4.44,4.9,4.93,4.67,4.51
94,6449836,4.91,4.89,4.79,4.89,4.98,4.92,4.81
95,6717134,,,,,,,
96,5646154,4.51,4.68,4.41,4.89,4.89,4.82,4.53
97,6739792,4.94,4.93,4.96,4.96,4.96,4.97,4.82
98,6739095,4.79,4.76,4.64,5.0,4.97,4.68,4.58
99,6338151,4.84,4.85,4.72,5.0,4.96,4.89,4.74
100,6804135,4.77,4.7,4.96,4.92,4.85,4.35,4.65
101,6863370,4.75,4.74,4.59,4.92,4.96,4.88,4.51
102,6873206,4.81,4.88,4.77,4.96,5.0,5.0,4.69
103,6900127,4.79,4.84,4.53,4.95,4.95,4.81,4.46
104,2826060,4.88,4.97,4.88,4.88,5.0,4.94,4.84
105,6925102,4.67,4.64,4.62,4.92,4.9,4.61,4.51
106,2714856,4.94,4.97,4.94,4.91,4.94,4.94,4.78
107,4615590,4.51,4.59,4.49,4.75,4.8,4.15,4.48
108,3573065,4.95,4.98,4.91,5.0,5.0,4.89,4.86
109,7113252,4.86,4.43,4.86,4.71,4.86,4.57,4.43
110,7126883,4.9,4.9,4.8,4.9,4.9,4.9,4.67
111,5796250,4.73,4.84,4.78,4.8,4.85,4.94,4.68
112,5796250,4.84,4.88,4.84,4.91,4.88,4.95,4.63
113,5796250,4.91,4.93,4.89,4.84,4.89,4.98,4.77
114,5796250,4.9,4.9,4.78,4.8,4.85,4.9,4.78
115,5796250,4.62,4.77,4.82,4.74,4.82,4.9,4.58
116,5720215,4.67,4.83,4.75,4.67,5.0,4.92,4.83
117,7218607,4.88,4.76,4.71,5.0,5.0,4.94,4.94
118,2968287,4.93,4.95,5.0,4.98,4.95,4.68,4.85
119,7259166,4.81,4.86,4.84,4.9,4.91,4.67,4.74
120,4905127,4.88,4.81,4.7,4.94,4.97,4.7,4.71
121,4905127,4.9,4.91,4.86,4.95,4.96,4.78,4.82
122,6701188,4.43,4.37,3.96,4.66,4.77,4.62,4.15
123,7358924,4.58,4.73,4.72,4.82,4.89,4.79,4.47
124,7371529,4.94,4.96,4.92,4.93,4.92,4.75,4.84
125,7403304,4.71,4.92,4.58,4.92,4.83,4.88,4.83
126,7405524,4.86,4.71,4.57,4.86,4.71,4.43,4.57
127,7220997,4.84,4.92,4.92,4.94,4.92,4.71,4.73
128,7453922,5.0,5.0,4.88,5.0,5.0,4.88,4.63
129,3040748,4.53,4.53,4.03,4.67,4.66,4.61,4.44
130,3607736,4.86,4.97,4.81,4.83,4.92,4.53,4.61
131,7356368,4.79,4.85,4.79,4.94,4.97,4.98,4.56
132,7393137,4.75,4.76,4.72,4.89,4.89,4.58,4.61
133,7538251,4.89,4.92,4.94,4.94,4.94,4.67,4.8
134,7547999,4.86,4.92,4.73,4.97,5.0,4.89,4.76
135,7550463,4.43,4.29,4.0,4.71,4.86,4.57,4.0
136,7570689,4.9,4.93,4.96,4.96,4.97,4.8,4.83
137,2539835,4.81,4.89,4.97,4.92,4.81,4.44,4.63
138,7677579,5.0,4.8,4.8,4.8,5.0,4.8,5.0
139,1610324,4.94,4.95,4.98,4.97,4.98,4.93,4.77
140,7681233,4.63,4.8,4.7,4.97,4.77,4.69,4.52
141,7767867,4.94,4.91,4.97,4.96,4.96,4.75,4.9
142,6681879,4.72,4.85,4.8,4.77,4.91,4.86,4.45
143,4355186,4.56,4.75,4.41,4.79,4.84,4.41,4.39
144,7928859,4.99,4.96,4.99,5.0,4.99,5.0,4.78
145,3877342,4.85,4.8,4.76,4.85,4.88,4.68,4.6
146,6126617,4.92,4.92,4.87,4.99,4.99,4.81,4.76
147,7944104,4.85,4.85,4.84,4.95,4.89,4.79,4.63
148,8071702,4.73,4.86,4.92,4.96,4.99,4.86,4.65
149,3899684,4.8,4.74,4.92,4.98,4.86,4.94,4.46
150,8101051,4.69,4.69,4.84,4.8,4.85,4.65,4.59
151,8129778,4.71,4.77,4.74,4.87,4.81,4.96,4.62
152,8136794,4.83,4.85,4.8,4.81,4.9,4.97,4.63
153,8176289,5.0,5.0,5.0,5.0,4.8,4.6,4.6
154,3498674,4.8,4.87,4.82,4.91,4.95,4.49,4.65
155,6839428,4.87,4.87,4.55,4.71,4.87,4.87,4.74
156,8296118,4.8,4.96,4.84,5.0,4.92,4.92,4.69
157,8331415,4.85,4.91,4.61,4.91,4.97,4.52,4.72
158,1259411,4.44,4.63,4.4,4.48,4.47,4.78,4.29
159,8129778,4.64,4.65,4.78,4.88,4.83,4.97,4.57
160,6383528,4.75,4.75,4.25,5.0,5.0,4.5,4.0
161,8405599,4.73,4.75,4.57,4.76,4.73,4.96,4.47
162,8447951,4.98,4.93,4.98,4.95,4.98,4.67,4.67
163,8534655,4.71,4.73,4.64,4.88,4.93,4.92,4.52
164,8534655,4.21,4.43,4.43,4.43,4.48,4.7,4.0
165,8544609,4.95,4.91,4.97,4.97,4.95,4.98,4.79
166,4173309,4.97,4.99,4.97,4.99,4.99,4.97,4.78
167,1125467,4.9,4.9,4.77,5.0,4.87,4.63,4.97
168,8664912,4.78,4.86,4.95,4.89,4.88,4.65,4.64
169,1899420,4.54,4.63,4.76,4.66,4.74,4.74,4.4
170,8670477,4.62,4.7,4.68,4.7,4.74,4.89,4.55
171,527982,4.98,4.97,4.71,5.0,4.95,4.95,4.74
172,6212243,5.0,4.67,5.0,5.0,5.0,4.67,4.67
173,8729867,4.94,4.98,4.8,5.0,4.96,4.98,4.85
174,7915637,5.0,5.0,5.0,4.88,5.0,5.0,4.88
175,8787804,4.92,4.92,4.92,5.0,4.92,5.0,4.75
176,8788562,,,,,,,
177,8692172,4.85,4.79,5.0,5.0,4.95,4.95,4.85
178,8873574,4.73,4.84,4.82,4.82,4.82,4.95,4.6
179,8949817,4.56,4.64,4.46,4.85,4.88,4.42,4.53
180,8817734,4.89,4.96,4.94,4.93,4.95,4.58,4.82
181,6673155,4.6,4.7,4.76,4.63,4.46,4.79,4.47
182,9035487,4.77,4.73,4.77,4.91,4.91,4.68,4.71
183,7356864,4.67,4.78,4.84,4.8,4.71,4.76,4.53
184,8329753,4.91,4.9,4.9,4.95,4.91,4.64,4.73
185,9101670,4.91,4.91,4.73,4.82,5.0,4.82,4.82
186,9121131,4.95,4.88,4.91,4.95,4.95,4.91,4.63
187,9133729,4.84,4.9,4.68,4.93,4.94,4.84,4.69
188,9136787,4.82,4.83,4.82,4.94,4.9,5.0,4.71
189,9136823,4.98,4.91,4.95,5.0,4.98,4.86,4.7
190,9137568,4.86,4.86,4.71,4.92,4.9,4.62,4.69
191,7755656,,,,,,,
192,9282300,4.67,4.67,4.67,5.0,4.67,5.0,4.67
193,9287447,4.72,4.85,4.87,4.89,4.92,4.38,4.47
194,2205770,4.82,4.82,4.7,4.92,4.94,4.6,4.78
195,5680826,4.76,4.85,4.85,4.92,4.93,4.63,4.56
196,620111,4.78,4.77,4.72,4.84,4.85,4.82,4.56
197,9400716,5.0,5.0,5.0,5.0,5.0,5.0,5.0
198,9426449,4.9,4.93,4.93,4.94,4.95,4.65,4.76
199,8691762,4.77,4.85,4.87,4.92,4.9,4.81,4.69
200,9434039,4.81,4.8,4.68,4.95,4.95,4.98,4.53
201,4416629,4.93,4.93,4.57,5.0,4.93,4.57,4.86
202,1325697,4.85,4.81,4.96,4.93,4.96,4.56,4.78
203,9502480,4.73,4.79,4.41,4.76,4.81,4.62,4.59
204,9566467,4.87,4.78,4.57,4.87,4.96,4.43,4.78
205,3347747,4.7,4.67,4.48,4.82,4.72,4.82,4.38
206,7803724,4.22,4.33,4.0,4.22,4.22,4.22,3.78
207,9595076,4.88,4.88,4.97,4.94,4.95,4.75,4.82
208,2067960,4.65,4.62,4.42,4.79,4.86,4.77,4.52
209,9641407,4.95,4.98,4.9,4.95,4.95,4.84,4.83
210,9654680,5.0,5.0,5.0,5.0,5.0,5.0,5.0
211,3509817,4.86,5.0,4.71,4.9,4.9,4.95,4.71
212,6813652,4.53,4.37,4.32,4.82,4.71,4.87,4.37
213,9426449,4.92,4.92,4.94,4.93,4.92,4.64,4.78
214,9720300,4.37,4.65,4.03,4.77,4.87,4.16,4.39
215,517541,4.87,4.95,4.86,4.95,4.99,4.68,4.67
216,7134355,4.97,4.94,5.0,5.0,4.97,4.84,4.74
217,9846631,4.71,4.8,4.41,4.95,4.98,4.88,4.46
218,9426449,4.91,4.93,4.98,4.95,4.98,4.68,4.77
219,9874890,4.9,4.94,4.95,4.97,4.97,4.98,4.81
220,2531171,4.85,4.87,4.75,4.93,4.93,4.66,4.72
221,7679262,4.33,4.51,4.74,4.63,4.68,4.55,4.2
222,9920818,4.92,4.96,4.92,5.0,4.96,4.96,4.76
223,8982547,5.0,4.93,4.89,5.0,5.0,4.89,4.79
224,9948828,4.58,4.77,4.74,4.91,4.87,4.58,4.47
225,9957140,4.92,4.96,4.83,4.96,4.88,4.96,4.78
226,1672823,4.92,4.93,4.92,4.98,4.99,4.91,4.83
227,9981353,4.79,4.84,4.67,4.84,4.8,4.98,4.61
228,9314105,4.85,4.78,4.7,4.93,4.98,4.65,4.7
229,9790923,4.97,4.97,4.9,5.0,5.0,4.93,4.76
230,2395124,4.63,4.67,4.5,4.77,4.76,5.0,4.3
231,3576012,4.75,4.8,4.68,4.78,4.84,4.63,4.61
232,10052583,4.68,4.7,4.08,4.89,4.76,4.78,4.46
233,9905351,4.9,5.0,4.6,4.9,4.7,4.6,4.3
234,9732994,4.71,4.77,4.75,4.92,4.89,4.56,4.57
235,10117243,5.0,4.89,4.89,5.0,5.0,5.0,4.89
236,9254989,4.91,4.93,4.89,4.99,4.98,4.81,4.61
237,4651226,4.75,4.5,4.5,5.0,5.0,5.0,4.75
238,7573668,4.75,4.8,4.45,5.0,4.95,4.7,4.6
239,5988161,4.88,4.94,4.71,4.94,4.94,4.88,4.41
240,9447620,4.96,4.91,4.8,4.98,4.98,4.96,4.69
241,7261788,4.87,4.92,4.93,4.95,4.96,4.88,4.75
242,7999104,4.91,4.98,4.93,4.94,4.97,4.92,4.88
243,8993151,4.58,4.59,4.34,4.94,4.94,4.96,4.24
244,10497718,4.73,4.84,4.86,4.81,4.81,4.62,4.73
245,9957140,4.74,4.79,4.57,4.74,4.83,4.93,4.6
246,8493544,4.84,4.97,4.74,4.94,4.94,4.94,4.58
247,10585553,4.76,4.78,4.85,4.91,4.86,4.7,4.61
248,1526936,4.95,4.97,4.99,4.99,5.0,4.91,4.88
249,8226123,4.41,4.6,4.29,4.64,4.8,4.64,4.29
250,10628928,4.47,4.63,4.47,4.89,4.79,4.74,4.47
251,10122091,4.94,4.94,4.65,4.88,5.0,4.82,4.59
252,3476261,5.0,4.97,5.0,5.0,5.0,4.87,4.8
253,10670531,4.63,4.73,4.76,4.78,4.93,4.68,4.48
254,10670068,4.62,4.73,4.72,4.82,4.8,4.63,4.52
255,3188453,4.9,4.79,4.69,4.82,4.82,4.75,4.71
256,10252558,4.48,4.49,4.53,4.84,4.82,4.31,4.38
257,10792478,4.61,4.59,4.71,4.42,4.45,4.64,4.25
258,10945068,4.95,5.0,4.81,5.0,4.95,4.9,4.7
259,10945099,4.84,4.74,4.79,4.79,4.95,4.16,4.67
260,10965305,4.81,4.92,4.87,4.95,4.97,4.59,4.54
261,11091694,4.78,4.78,4.78,4.78,4.89,4.56,4.56
262,2395124,4.82,4.93,4.66,4.9,4.82,4.97,4.57
263,6630741,4.94,4.92,4.89,4.98,4.99,4.94,4.8
264,11283885,4.75,4.87,4.78,4.92,4.92,4.75,4.57
265,11353909,4.33,4.38,4.29,4.71,4.62,4.85,4.24
266,11413756,4.85,4.85,4.7,4.97,4.97,4.66,4.64
267,11516083,4.77,4.8,4.5,4.96,4.92,4.85,4.5
268,11601106,4.45,4.61,4.49,4.58,4.35,4.79,4.2
269,453797,4.9,4.93,4.84,4.93,4.94,4.83,4.67
270,12018031,4.86,5.0,4.71,5.0,5.0,4.86,4.71
271,7907666,4.83,4.8,4.66,4.94,4.94,4.89,4.74
272,12143208,5.0,5.0,4.8,5.0,5.0,5.0,4.8
273,12179373,4.97,4.97,4.87,5.0,5.0,5.0,4.86
274,8691345,4.81,4.9,4.81,4.92,4.95,4.49,4.69
275,5615186,4.83,4.89,4.77,4.83,4.85,4.65,4.57
276,12293873,4.96,4.96,4.96,4.96,4.96,4.72,4.92
277,12367542,4.8,4.8,5.0,4.8,5.0,4.6,4.4
278,10015905,4.68,4.73,4.62,4.77,4.77,4.95,4.54
279,12443362,4.76,4.83,4.64,4.88,4.93,4.57,4.45
280,12448020,4.8,4.78,4.88,4.89,4.9,4.92,4.66
281,3523553,4.63,4.67,4.42,4.78,4.89,4.67,4.5
282,12574181,4.88,4.91,4.94,4.84,4.84,4.65,4.65
283,6331314,4.95,4.92,4.95,4.98,4.97,4.96,4.86
284,10428722,4.65,4.65,4.55,5.0,4.9,5.0,4.45
285,10886830,5.0,5.0,5.0,5.0,4.86,4.86,5.0
286,12348866,4.71,4.76,4.67,4.83,4.83,4.88,4.56
287,12679676,4.74,4.82,4.72,4.88,4.82,4.87,4.69
288,12690109,4.85,4.83,4.71,4.97,4.97,4.99,4.68
289,12784049,4.64,4.66,4.72,4.86,4.86,4.85,4.45
290,9396158,4.98,4.99,4.96,5.0,5.0,4.87,4.83
291,3071046,4.79,4.82,4.85,4.97,5.0,4.65,4.6
292,12953966,4.8,4.97,4.9,4.77,4.82,4.67,4.67
293,12978317,4.97,4.9,4.94,4.97,4.97,4.9,4.68
294,12978768,4.8,4.86,4.82,4.88,4.97,4.71,4.66
295,2764651,4.89,4.92,4.97,4.96,4.94,4.93,4.73
296,10863932,4.85,4.91,4.81,4.91,4.93,4.57,4.67
297,13074069,,,,,,,
298,13178396,4.79,4.92,4.71,4.88,5.0,4.79,4.79
299,13181512,4.77,4.68,4.67,4.9,4.96,4.41,4.38
300,13086804,4.96,4.96,4.85,5.0,5.0,4.85,4.77
301,3487070,,,,,,,
302,10697763,4.02,4.36,3.88,4.45,4.16,4.31,3.99
303,13098216,4.81,4.86,4.67,4.92,4.95,4.86,4.71
304,13487234,4.92,4.92,4.97,4.97,4.99,4.86,4.89
305,5137582,4.52,4.51,4.65,4.56,4.39,4.41,4.51
306,11386978,4.86,4.67,4.67,4.88,4.93,4.77,4.53
307,5137582,4.63,4.66,4.66,4.63,4.51,4.34,4.58
308,3018316,4.75,4.77,4.78,4.87,4.91,4.95,4.63
309,5137582,4.45,4.42,4.46,4.3,4.24,4.2,4.35
310,5137582,4.73,4.76,4.8,4.72,4.58,4.56,4.66
311,10302269,4.72,4.81,4.61,4.75,4.88,4.56,4.61
312,3042726,4.81,4.94,4.94,4.88,5.0,4.81,4.75
313,13659182,4.91,4.85,4.78,4.98,4.95,4.79,4.76
314,10092422,4.95,4.94,5.0,5.0,5.0,4.72,4.83
315,12735907,4.94,5.0,4.83,5.0,5.0,4.67,4.67
316,13840094,5.0,4.95,4.9,4.95,4.9,4.95,4.57
317,2674028,4.66,4.67,4.43,4.78,4.8,4.33,4.44
318,13862000,4.84,4.9,4.87,4.9,4.91,4.67,4.59
319,13060291,4.91,4.95,4.89,4.98,4.97,4.89,4.81
320,436145,4.68,4.76,4.86,4.78,4.81,4.93,4.52
321,5431417,4.89,4.78,4.78,5.0,5.0,4.67,4.67
322,13885350,5.0,5.0,5.0,5.0,5.0,4.83,5.0
323,14122005,4.78,4.78,4.92,4.84,4.84,4.5,4.67
324,11001794,4.79,4.85,4.77,4.94,4.92,4.99,4.66
325,14122005,4.84,4.88,4.94,4.83,4.86,4.58,4.72
326,9406727,4.14,4.05,4.36,4.64,4.55,4.41,4.09
327,14218464,4.86,4.89,4.9,4.92,4.91,4.98,4.76
328,1491426,4.7,4.73,4.28,4.85,4.88,4.55,4.35
329,14263733,4.92,5.0,4.92,5.0,5.0,4.83,4.67
330,6945968,4.54,4.62,4.54,4.77,4.85,4.54,4.54
331,1512673,4.9,4.88,4.88,4.95,4.95,4.97,4.71
332,14366013,4.94,5.0,4.93,5.0,5.0,4.77,4.77
333,14465690,4.93,4.95,4.84,4.98,4.98,4.82,4.73
334,5516496,4.9,4.92,4.94,4.98,4.99,4.8,4.79
335,3040748,4.56,4.54,4.25,4.5,4.61,4.68,4.41
336,8542750,4.91,4.94,4.94,4.91,5.0,5.0,4.79
337,14574533,4.53,4.67,4.5,4.8,4.75,4.54,4.44
338,11931187,5.0,5.0,5.0,4.8,5.0,4.8,4.6
339,14574533,4.52,4.53,4.41,4.8,4.73,4.48,4.39
340,922459,5.0,5.0,5.0,5.0,5.0,5.0,5.0
341,9164546,4.89,4.89,4.96,4.89,4.93,4.81,4.81
342,7414914,4.97,4.93,4.89,5.0,4.99,4.99,4.82
343,6485357,4.95,4.95,4.86,4.93,5.0,4.82,4.75
344,14921396,4.93,5.0,4.93,5.0,5.0,4.8,4.87
345,1271678,4.8,4.84,4.9,4.87,4.92,4.38,4.71
346,7826575,4.8,4.92,4.84,4.73,4.69,4.81,4.63
347,15088193,4.81,4.8,4.91,4.95,4.94,4.87,4.69
348,15131204,4.96,5.0,4.89,5.0,5.0,4.68,4.83
349,5330753,4.85,4.86,4.89,4.95,4.86,4.74,4.66
350,15183505,4.95,4.97,4.97,4.97,4.95,4.98,4.81
351,14574533,4.65,4.85,4.55,4.7,4.75,4.55,4.7
352,14574533,4.57,4.82,4.59,4.95,4.82,4.64,4.5
353,14574533,4.58,4.69,4.53,4.75,4.66,4.32,4.47
354,14574533,4.39,4.48,4.59,4.79,4.75,4.33,4.21
355,14574533,4.41,4.5,4.55,4.77,4.68,4.36,4.14
356,1448980,4.88,4.91,4.94,4.97,4.97,4.75,4.66
357,14869181,4.76,4.92,4.79,4.96,4.92,4.79,4.63
358,15308845,4.79,4.82,4.84,4.92,4.92,4.89,4.74
359,15307319,4.95,4.95,4.93,4.99,4.98,4.85,4.86
360,15302341,4.56,4.92,4.76,4.79,4.67,4.29,4.25
361,15375765,4.8,4.8,4.35,4.85,4.95,4.6,4.4
362,14271525,4.88,4.88,4.91,4.98,4.95,4.75,4.72
363,14071035,4.87,4.91,4.8,4.77,4.79,4.65,4.75
364,15484042,4.86,4.9,4.98,4.93,4.98,4.81,4.69
365,15504079,4.6,4.4,3.8,4.6,4.6,5.0,4.4
366,15510514,4.71,4.86,4.0,4.57,4.43,4.57,4.71
367,15068613,4.67,4.67,4.58,5.0,5.0,4.92,4.58
368,4674102,4.95,4.95,4.92,4.99,4.99,4.96,4.87
369,8751215,4.95,4.9,4.95,4.95,4.95,4.85,4.85
370,14626041,4.91,4.94,4.95,4.96,4.95,4.87,4.78
371,15760048,4.86,4.92,4.88,4.97,4.96,4.58,4.66
372,15812999,4.86,4.88,4.88,4.93,4.93,4.95,4.65
373,11484134,5.0,5.0,5.0,5.0,5.0,5.0,5.0
374,10308497,4.82,4.97,4.95,4.82,4.97,4.87,4.5
375,15991513,4.89,4.91,4.91,4.98,4.99,4.94,4.76
376,3040748,4.78,4.78,4.81,4.89,4.88,4.86,4.74
377,16032724,4.79,4.91,4.48,4.97,4.94,4.97,4.61
378,14049960,4.93,4.98,4.8,4.95,4.98,4.91,4.88
379,6123911,4.95,4.95,4.68,4.86,5.0,4.68,4.59
380,2133459,5.0,5.0,4.85,5.0,5.0,4.96,4.73
381,16126732,4.77,4.86,4.55,4.9,4.86,4.67,4.38
382,3774941,5.0,4.9,4.8,5.0,5.0,4.8,4.7
383,14460671,4.84,4.95,4.95,4.93,4.95,4.55,4.76
384,10258350,4.84,4.79,4.84,5.0,5.0,4.95,4.63
385,14039696,4.91,4.93,4.73,4.98,4.93,4.98,4.8
386,1759884,4.48,4.69,4.51,4.63,4.5,4.74,4.34
387,9121320,4.89,4.93,5.0,5.0,4.98,4.7,4.87
388,7780586,4.92,4.89,4.86,4.92,4.89,4.59,4.73
389,16493720,4.95,4.95,4.81,4.98,4.97,4.74,4.79
390,14691758,4.79,4.91,4.47,4.84,4.92,4.95,4.6
391,7626197,4.3,4.52,3.5,4.74,4.7,4.78,4.04
392,12721238,4.88,4.89,4.89,4.95,4.98,4.75,4.59
393,16602759,4.62,4.73,4.72,4.85,4.8,4.81,4.46
394,5434912,4.75,4.75,4.56,4.88,4.81,4.81,4.69
395,7438608,4.71,4.8,4.8,4.87,4.81,4.41,4.59
396,16776262,4.73,4.86,4.89,4.86,4.89,4.95,4.51
397,16820223,,,,,,,
398,11224822,5.0,5.0,5.0,4.9,5.0,4.9,4.6
399,16866316,4.54,4.59,4.52,4.81,4.64,4.7,4.44
400,4013546,4.67,4.74,4.89,4.78,4.82,4.33,4.5
401,16894811,4.94,4.93,4.94,4.98,4.98,4.89,4.83
402,16916490,4.92,4.94,4.92,4.97,4.97,4.69,4.72
403,16990973,4.92,4.92,4.92,4.85,4.92,5.0,4.69
404,3989215,4.92,4.92,4.89,4.95,5.0,4.84,4.73
405,17069976,4.72,4.81,4.78,4.92,4.88,4.81,4.7
406,13818262,4.95,4.93,4.93,4.97,4.99,4.91,4.77
407,13823916,4.89,4.86,4.86,4.93,4.96,4.91,4.69
408,12167638,5.0,5.0,5.0,5.0,5.0,4.0,5.0
409,17048359,4.57,4.64,4.61,4.86,5.0,4.68,4.43
410,5268852,5.0,5.0,5.0,5.0,5.0,4.91,5.0
411,16944659,5.0,5.0,4.67,5.0,5.0,5.0,5.0
